Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
22.4 | 111
17 | 141
15.1 | 165
10 | 46.0225
3 | 96.6336
10 | 46.0225
14 | 37.0262
8 | 46.0225

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 10
utility for rounded alloc | utility: 
23.0559 | 81.1
20.6 | 138
32.6 | 185
23.8 | 225
22.3 | 264
12 | 46.0225
14 | 46.0225
7 | 46.0225
5 | 37.0262
6 | 37.0262

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 15
utility for rounded alloc | utility: 
12.4424 | 13.3
0 | 42.5
0 | 56.1
5.3 | 137
5.96 | 185
1 | 100
3 | 95.4179
1 | 100
9 | 94.6542
8 | 94.6542

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 15
utility for rounded alloc | utility: 
8.81813 | 88.5
7.81 | 222
6.9 | 330
0 | 466
5.37 | 608
12 | 37.0262
14 | 26.5306
6 | 37.0262
7 | 26.5306
6 | 37.0262

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 15
utility for rounded alloc | utility: 
16.4551 | 199
4.05 | 378
16.9 | 487
8.42 | 584
23.3 | 708
9 | 70.8643
3 | 78.5942
4 | 70.8643
3 | 70.8643
5 | 70.8643

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 15
utility for rounded alloc | utility: 
6.04221 | 259
17.3 | 419
12.6 | 484
7.84 | 679
9.29 | 763
13 | 37.0262
4 | 46.0225
6 | 37.0262
12 | 37.0262
6 | 26.5306

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 15
utility for rounded alloc | utility: 
10.9025 | 153
14.1 | 289
1.79 | 326
13.7 | 522
34.7 | 657
13 | 46.0225
4 | 46.0225
14 | 26.5306
13 | 14.2857
6 | 46.0225

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 30
utility for rounded alloc | utility: 
5.52619 | 7.32
6.19 | 14.2
3.72 | 20.7
4.46 | 26.3
4 | 36.3
7 | 53.7336
8 | 53.7336
10 | 46.0225
7 | 46.0225
6 | 75.0265

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 30
utility for rounded alloc | utility: 
10.0921 | 12.8
19.9 | 37
14.9 | 56.7
9.58 | 70.4
14.9 | 104
12 | 46.0225
5 | 70.8643
6 | 60.3431
11 | 37.0262
10 | 37.0262

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 30
utility for rounded alloc | utility: 
25.2135 | 29.9
9.24 | 62.2
25.4 | 99.6
21 | 152
6.17 | 192
4 | 81.6521
4 | 81.6521
3 | 81.6521
12 | 78.5942
3 | 78.5942

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 30
utility for rounded alloc | utility: 
27.5054 | 119
24.1 | 171
23.1 | 259
22.5 | 337
29 | 384
11 | 60.3431
6 | 60.3431
9 | 60.3431
5 | 60.3431
3 | 60.3431

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 30
utility for rounded alloc | utility: 
17.0966 | 125
26.3 | 199
42.2 | 276
12.7 | 353
27.3 | 449
6 | 60.3431
12 | 37.0262
7 | 53.7336
9 | 37.0262
13 | 37.0262

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 100
utility for rounded alloc | utility: 
3.14369 | 5.91
4.13 | 27.7
8.89 | 42.4
20.1 | 62.5
6.6 | 81.1
2 | 81.6521
8 | 75.0265
4 | 75.0265
6 | 75.0265
8 | 70.8643

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 100
utility for rounded alloc | utility: 
4.30592 | 20.9
10.2 | 66.7
7.49 | 96.9
10.5 | 135
24.4 | 186
6 | 53.7336
9 | 46.0225
7 | 46.0225
5 | 53.7336
14 | 46.0225

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 100
utility for rounded alloc | utility: 
11.8071 | 33.7
0.918 | 72.4
15.7 | 96.6
18.4 | 157
11.5 | 228
14 | 53.7336
6 | 46.0225
7 | 46.0225
8 | 46.0225
5 | 46.0225

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 100
utility for rounded alloc | utility: 
22.8217 | 86.4
6.3 | 146
22.3 | 214
24.9 | 310
4.98 | 372
12 | 37.0262
9 | 37.0262
9 | 37.0262
13 | 37.0262
10 | 26.5306

Bidders: 5 Goods: 7 Iterations: 25 spending restriction: 3 quantity per item: 100
utility for rounded alloc | utility: 
11.3425 | 49
22.9 | 151
25.3 | 211
17.2 | 283
9.14 | 323
14 | 53.7336
8 | 46.0225
5 | 53.7336
5 | 46.0225
7 | 46.0225

Bidders: 3 Goods: 4 Iterations: 25 spending restriction: 3 quantity per item: 5
utility for rounded alloc | utility: 
13 | 13
9.52 | 19.1
10 | 26
8 | 76.2695
6 | 68.3594
1 | 100

Bidders: 3 Goods: 4 Iterations: 25 spending restriction: 3 quantity per item: 5
utility for rounded alloc | utility: 
31 | 28.4
17 | 40.8
61 | 95.7
13 | 0
5 | 68.3594
12 | 68.3594

Bidders: 3 Goods: 4 Iterations: 25 spending restriction: 3 quantity per item: 5
utility for rounded alloc | utility: 
22 | 17.5
76.6 | 64.9
41.7 | 107
13 | 0
9 | 76.2695
5 | 89.9887

Bidders: 3 Goods: 4 Iterations: 25 spending restriction: 3 quantity per item: 5
utility for rounded alloc | utility: 
43 | 36.6
43 | 72.4
57 | 129
12 | 43.75
5 | 57.8125
5 | 25

Bidders: 3 Goods: 4 Iterations: 25 spending restriction: 3 quantity per item: 5
utility for rounded alloc | utility: 
66 | 58.3
71.9 | 104
22 | 127
10 | 43.75
3 | 76.2695
7 | 25

Bidders: 3 Goods: 4 Iterations: 25 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
9 | 6.25
0 | 8.65
0 | 13.4
6 | 57.8125
7 | 57.8125
7 | 43.75

Bidders: 3 Goods: 4 Iterations: 25 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
14 | 9.77
0 | 17.3
0 | 23.2
14 | 0
13 | 0
13 | 0

Bidders: 3 Goods: 4 Iterations: 25 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
28 | 25.2
9 | 37.9
0 | 43.4
7 | 82.2021
8 | 68.3594
14 | 0

Bidders: 3 Goods: 4 Iterations: 25 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
83 | 80.2
20 | 98.3
1 | 99.2
11 | 43.75
6 | 43.75
9 | 25

Bidders: 3 Goods: 4 Iterations: 25 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
69.7973 | 49.2
8 | 60.3
13 | 75
7 | 100
14 | 0
14 | 0

uBidders: 5 Goods: 6 Iterations: 25 spending restriction: 3 quantity per item: 5
utility for rounded alloc | utility: 
23.6906 | 11.1
0 | 17.5
7 | 34.7
0 | 41.7
0 | 46.2
4 | 66.5102
5 | 66.5102
9 | 66.5102
5 | 59.8122
4 | 59.8122

Bidders: 5 Goods: 6 Iterations: 25 spending restriction: 3 quantity per item: 5
utility for rounded alloc | utility: 
23 | 20.4
27 | 45.9
25 | 79.4
44 | 115
13 | 131
5 | 66.5102
5 | 59.8122
3 | 59.8122
13 | 42.1296
13 | 30.5556

Bidders: 5 Goods: 6 Iterations: 25 spending restriction: 3 quantity per item: 5
utility for rounded alloc | utility: 
14 | 12
1 | 20.8
11 | 42.6
20 | 62.1
14 | 86.7
1Bidders: 4 Goods: 5 Iterations: 20 spending restriction: 3 quantity per item: 5
utility for rounded alloc | utility: 
9 | 11.4
9 | 21.2
36.3 | 48.3
22 | 70.1
2 | 86.5782
3 | 83.2228
9 | 83.2228
4 | 79.0285

Bidders: 4 Goods: 5 Iterations: 20 spending restriction: 3 quantity per item: 5
utility for rounded alloc | utility: 
84 | 44.4
51 | 79.3
51 | 122
15 | 142
5 | 48.8
11 | 36
3 | 48.8
7 | 36

Bidders: 4 Goods: 5 Iterations: 20 spending restriction: 3 quantity per item: 5
utility for rounded alloc | utility: 
88 | 48.8
72 | 92
52 | 142
39 | 186
12 | 36
10 | 20
11 | 20
10 | 20

Bidders: 4 Goods: 5 Iterations: 20 spending restriction: 3 quantity per item: 5
utility for rounded alloc | utility: 
101 | 56.6
129 | 122
32 | 150
28 | 184
14 | 36
14 | 20
14 | 0
8 | 20

Bidders: 4 Goods: 5 Iterations: 20 spending restriction: 3 quantity per item: 5
utility for rounded alloc | utility: 
134 | 74.6
41 | 101
50 | 154
21 | 182
14 | 20
11 | 20
3 | 36
5 | 0

Bidders: 3 Goods: 4 Iterations: 20 spending restriction: 3 quantity per item: 4
utility for rounded alloc | utility: 
19 | 15.4
0 | 20
18 | 32.9
6 | 82.2021
1 | 100
7 | 76.2695

Bidders: 3 Goods: 4 Iterations: 20 spending restriction: 3 quantity per item: 4
utility for rounded alloc | utility: 
58 | 52.5
11 | 71.8
22 | 91.7
4 | 68.3594
5 | 68.3594
6 | 43.75

Bidders: 3 Goods: 4 Iterations: 20 spending restriction: 3 quantity per item: 4
utility for rounded alloc | utility: 
51 | 55.2
14 | 69.4
41 | 106
4 | 68.3594
8 | 43.75
7 | 25

Bidders: 3 Goods: 4 Iterations: 20 spending restriction: 3 quantity per item: 4
utility for rounded alloc | utility: 
25 | 26.1
13 | 41.3
56 | 83
14 | 0
8 | 68.3594
10 | 25

Bidders: 3 Goods: 4 Iterations: 20 spending restriction: 3 quantity per item: 4
utility for rounded alloc | utility: 
22 | 19.3
4 | 24.9
42 | 56.5
10 | 43.75
14 | 0
5 | 25

Bidders: 4 Goods: 5 Iterations: 20 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
3 | 6.48
26 | 27.2
19 | 39
17 | 60.2
2 | 100
7 | 79.0285
4 | 73.7856
6 | 73.7856

Bidders: 4 Goods: 5 Iterations: 20 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
16 | 22.3
55 | 65.8
60 | 127
58 | 182
4 | 73.7856
3 | 67.232
12 | 36
12 | 36

Bidders: 4 Goods: 5 Iterations: 20 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
19 | 22.9
48 | 77.8
17 | 92.1
36 | 130
3 | 67.232
9 | 59.04
11 | 36
3 | 59.04

Bidders: 4 Goods: 5 Iterations: 20 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
34 | 27
33 | 62.1
53 | 120
61 | 187
14 | 36
8 | 48.8
8 | 36
11 | 0

Bidders: 4 Goods: 5 Iterations: 20 spending restriction: 3 quantity per item: 6
utility for rounded alloc | utility: 
38 | 36
40 | 82.6
76 | 162
18 | 184
4 | 36
9 | 36
7 | 36
4 | 20

